"path_to_dir","tags","width","height","fx","cx","fy","cy","k1","k2","p1","p2","k3"
"2011_09_26/2011_09_26_drive_0001_extract/image_02/data","kitti,image_02,2011_09_26,0001",1392,512,960,696,957,224,-0.369,0.197,0.00135,0.000568,-0.0677
"2011_09_26/2011_09_26_drive_0002_extract/image_02/data","kitti,image_02,2011_09_26,0002",1392,512,960,696,957,224,-0.369,0.197,0.00135,0.000568,-0.0677
"2011_09_26/2011_09_26_drive_0005_extract/image_02/data","kitti,image_02,2011_09_26,0005",1392,512,960,696,957,224,-0.369,0.197,0.00135,0.000568,-0.0677
"2011_09_26/2011_09_26_drive_0009_extract/image_02/data","kitti,image_02,2011_09_26,0009",1392,512,960,696,957,224,-0.369,0.197,0.00135,0.000568,-0.0677
"2011_09_26/2011_09_26_drive_0011_extract/image_02/data","kitti,image_02,2011_09_26,0011",1392,512,960,696,957,224,-0.369,0.197,0.00135,0.000568,-0.0677
"2011_09_26/2011_09_26_drive_0013_extract/image_02/data","kitti,image_02,2011_09_26,0013",1392,512,960,696,957,224,-0.369,0.197,0.00135,0.000568,-0.0677
"2011_09_26/2011_09_26_drive_0014_extract/image_02/data","kitti,image_02,2011_09_26,0014",1392,512,960,696,957,224,-0.369,0.197,0.00135,0.000568,-0.0677
"2011_09_26/2011_09_26_drive_0015_extract/image_02/data","kitti,image_02,2011_09_26,0015",1392,512,960,696,957,224,-0.369,0.197,0.00135,0.000568,-0.0677
"2011_09_26/2011_09_26_drive_0017_extract/image_02/data","kitti,image_02,2011_09_26,0017",1392,512,960,696,957,224,-0.369,0.197,0.00135,0.000568,-0.0677
"2011_09_26/2011_09_26_drive_0018_extract/image_02/data","kitti,image_02,2011_09_26,0018",1392,512,960,696,957,224,-0.369,0.197,0.00135,0.000568,-0.0677
"2011_09_26/2011_09_26_drive_0019_extract/image_02/data","kitti,image_02,2011_09_26,0019",1392,512,960,696,957,224,-0.369,0.197,0.00135,0.000568,-0.0677
"2011_09_26/2011_09_26_drive_0020_extract/image_02/data","kitti,image_02,2011_09_26,0020",1392,512,960,696,957,224,-0.369,0.197,0.00135,0.000568,-0.0677
"2011_09_26/2011_09_26_drive_0022_extract/image_02/data","kitti,image_02,2011_09_26,0022",1392,512,960,696,957,224,-0.369,0.197,0.00135,0.000568,-0.0677
"2011_09_26/2011_09_26_drive_0023_extract/image_02/data","kitti,image_02,2011_09_26,0023",1392,512,960,696,957,224,-0.369,0.197,0.00135,0.000568,-0.0677
